Title,Authors
Carpool for Big Data: Enabling Efficient Crowd Cooperation in Data Market for Pervasive AI,"Shi Q., Chen X."
Efficiency Analysis of Machine Learning Intelligent Investment Based on K-Means Algorithm,"Li, L; Wang, J; Li, XT"
Identification of Resources in the System of Broiler Farming Business,"Amam; Fanani, Z; Hartono, B; Nugroho, BA"
How do co-operative banks perceive the impact of digital transformation? [¿Cómo percibe la banca cooperativa el impacto de la transformación digital?],"Fernández-Torres Y., Gutiérrez-Fernández M., Palomo-Zurdo R."
The role of banks' innovativeness in building sustainable efficiency: The case of Poland,Klimontowicz M.
THE ROLE OF BANKS' INNOVATIVENESS IN BUILDING SUSTAINABLE EFFICIENCY: THE CASE OF POLAND,"Klimontowicz, M"
FinTech in Taiwan: a case study of a Bank’s strategic planning for an investment in a FinTech company,"Hung J.-L., Luo B."
Exploring the Fintech jobs-skills fit of financial and information technology professionals: Evidence from linkedIn,"Qi W., Huang K.-W."
Feasibility of the fintech industry as an innovation platform for sustainable economic growth in Korea,"Shin Y.J., Choi Y."
Bridging the Gap between Requirements Modeling and Behavior-Driven Development,"Alferez M., Pastore F., Sabetzadeh M., Briand L.C., Riccardi J.-R."
Feasibility of the Fintech Industry as an Innovation Platform for Sustainable Economic Growth in Korea,"Shin, YJ; Choi, Y"
Bridging the Gap between Requirements Modeling and Behavior-driven Development,"Alferez, M; Pastore, F; Sabetzadeh, M; Briand, LC; Riccardi, JR"
Exploring the trust influencing mechanism of robo-advisor service: A mixed method approach,"Cheng X., Guo F., Chen J., Li K., Zhang Y., Gao P."
A method for innovation capability evaluation in banking,"Ngo N.D.K., Huynh V.N."
Impact of customers' digital banking adoption on hidden defection: A combined analytical–empirical approach,"Son Y., Kwon H.E., Tayi G.K., Oh W."
Robo advisory and its potential in addressing the behavioral biases of investors — A qualitative study in Indian context,"Bhatia A., Chandani A., Chhateja J."
Regulating Investment Robo-Advisors in China: Problems and Prospects,Guo L.
Machine Learning in Capital Markets: Decision Support System for Outcome Analysis,"Rosati R., Romeo L., Romeo L., Goday C.A., Menga T., Frontoni E."
Commodity Trading Platform Based on Big Data Analysis,"Cai Z., Zhang J."
Exploring the Trust Influencing Mechanism of Robo-Advisor Service: A Mixed Method Approach,"Cheng, XS; Guo, F; Chen, J; Li, KJ; Zhang, YH; Gao, P"
Impact of customers' digital banking adoption on hidden defection: A combined analytical-empirical approach,"Son, Y; Kwon, HE; Tayi, GK; Oh, W"
Robo advisory and its potential in addressing the behavioral biases of investors - A qualitative study in Indian context,"Bhatia, A; Chandani, A; Chhateja, J"
Leverage the financing role of banks for low-carbon energy transition,Kim J.
Sustainable profitability of ethical and conventional banking,"Costa-Climent R., Martínez-Climent C."
Blockchain technology in corporate governance: disrupting chain reaction or not?,"Singh H., Jain G., Munjal A., Rakesh S."
How China is fostering sustainable growth: the interplay of green investment and production-based emission,"Wang L., Su C.-W., Ali S., Chang H.-L."
Promotion of fintech application for the modernization of banking-finance system in Vietnam,"Nguyen D.D., Dinh H.C., Van Nguyen D."
