Title,Authors
Co-evolution between streaming and live music leads a way to the sustainable growth of music industry – Lessons from the US experiences,"Naveed K., Watanabe C., Neittaanmäki P."
Consumer finance / household finance: the definition and scope,"Xiao J., Tao C."
Toward understanding FinTech and its industry,"Knewtson H.S., Rosenbaum Z.A."
"FinTech, blockchain and Islamic finance: An extensive literature review","Rabbani M.R., Khan S., Thalassinos E.I."
Fintech and regtech: Impact on regulators and banks,Anagnostopoulos I.
Blockchain and insurance: a review for operations and regulation,Brophy R.
Fintech: research directions to explore the digital transformation of financial service systems,"Breidbach C.F., Keating B.W., Lim C."
How does Islamic fintech promote the SDGs? Qualitative evidence from Indonesia,Hudaefi F.A.
Financial technology: a review of extant literature,"Sangwan V., Harshita, Prakash P., Singh S."
Artificial intelligence and machine learning as a tool in preventing and detecting financial fraud: A systematic literature review,"Raudha F., Saeedi M."
"From ""intrusive"" and ""excessive"" to financially abusive? Charitable and religious fund-raising amongst vulnerable older people",Redmond M.
Understanding of the fintech phenomenon in the beholder's eyes in South Korea,"Choi H., Jung Y., Choi Y."
Integrated purchasing and banking data protection in the context of Directive (EU) 2015/2366: New payment service providers [Compras integradas e proteção de dados bancários no contexto da Diretiva (UE) 2015/2366: Os novos prestadores de serviços de pagamento],Legeais D.
Blockchain technology: Disrupting the current business and governance model,Mariappan S.
P2p islamic fintech investment innovation. A proposal of mushĀrakah smart contract model for smes financing and social development,"Sa’ad A.A., Ahmad K., Saleh A.O.H."
Establishing a social licence for Financial Technology: Reflections on the role of the private sector in pursuing ethical data practices,"Aitken M., Toreini E., Carmichael P., Coopamootoo K., Elliott K., van Moorsel A."
Ideas for a regulatory definition of FinTech,"Rupeika-Apoga R., Thalassinos E.I."
Identifying fintech innovations with patent data: A combination of textual analysis and machine-learning techniques,"Xu L., Lu X., Yang G., Shi B."
"Blockchain, business and the fourth industrial revolution: Whence, whither, wherefore and how?","Kimani D., Adams K., Attah-Boakye R., Ullah S., Frecknall-Hughes J., Kim J."
P2P ISLAMIC FINTECH INVESTMENT INNOVATION. A PROPOSAL OF MUSHARAKAH SMART CONTRACT MODEL FOR SMES FINANCING AND SOCIAL DEVELOPMENT,"Sa'ad, AA; Ahmad, K; Saleh, AOH"
How do we study crowdfunding? An overview of methods and introduction to new research agenda,"Stasik A., Wilczyńska E."
"Basics of business model, emerging fintech & case insights on gojek business model","Priya K., Ganesh N., Balaraman P."
Mapping crowdfunding research on the web of science database: A bibliometric analysis approach,"Abdullah A.-R., Rametse N., Abdullah S.S., Hassan A., Yunoh M.N.M."
Triple-entry accounting with blockchain: How far have we come?,Cai C.W.
Statistical and bibliometric analysis of financial innovation,"Chen T.-H., Peng J.-L."
Contesting digital finance for the poor,Ozili P.K.
Cooperative financial institutions: A review of the literature,"McKillop D., French D., Quinn B., Sobiech A.L., Wilson J.O.S."
Fintechs in Brazil: Opportunities or threats?,"Lisboa E., Godinho R.S., Leão Da Silva L."
Statistical and bibliometric analyses of the effects of financial innovation,"Chen, TH; Peng, JL"
THE AWARENESS OF DIGITISATION IN STRATEGIC SUSTAINABILTY REPORTING IN BANKING,"Diener, F; Spacek, M"
Blockchain entrepreneurship opportunity in the practices of the unbanked,Larios-Hernández G.J.
Understanding FinTech start-ups – a taxonomy of consumer-oriented service offerings,"Gimpel H., Rau D., Röglinger M."
Born global on blockchain,Zalan T.
The FinTech phenomenon: antecedents of financial innovation perceived by the popular press,"Zavolokina L., Dolata M., Schwabe G."
Emerging technologies and opportunities for innovation in financial data analytics: A Perspective,"Mondal A., Singh A."
A meta-synthesis approach to specify components of future banking,Sedaghatparast E.
Innovative fintech business models the role of financial institutions,"Rathnakar G., Surendar G."
Leveraging technology for robust financial facilities: A comparative assessment of BRICS nations,"Kumar B., Ghai R., Tyagi M., Gupta R."
A perspective on categorizing Personal and Sensitive Data and the analysis of practical protection regulations,"Li Y., Saxunová D."
COVID-19 and Finance: Market Developments So Far and Potential Impacts on the Financial Sector and Centres,"Wójcik D., Ioannou S."
"How Blockchain can impact financial services – The overview, challenges and recommendations from expert interviewees","Chang V., Baudier P., Zhang H., Xu Q., Zhang J., Arami M."
"How Blockchain can impact financial services - The overview, challenges and recommendations from expert interviewees","Chang, V; Baudier, P; Zhang, H; Xu, QW; Zhang, JQ; Arami, M"
"Financial regulation, non-compliance risks and control: A statistical approach",Tapiero C.S.
A qualitative study on adoption of biometrics technologies: Canadian banking industry,"Gatali I.F., Lee K.Y., Park S.U., Kang J."
FinTech transformation: How IT-enabled innovations shape the financial sector,"Zavolokina L., Dolata M., Schwabe G."
Digital Finance and FinTech: current research and future research directions,"Gomber P., Koch J.-A., Siering M."
Emergence of Fintech and cybersecurity in a global financial centre: Strategic approach by a regulator,"Ng A.W., Kwok B.K.B."
"Fintech: Ecosystem, business models, investment decisions, and challenges","Lee I., Shin Y.J."
Fintech trends relationships research: A bibliometric citation meta-analysis,Wu P.-S.
Smart contracts and their identity crisis,"Rivas A.G., Tsyganova M., Mik E."
Following the cyber money trail: Global challenges when investigating ransomware attacks and how regulation can help,"Irwin A.S.M., Dawson C."
"Illicit Bitcoin transactions: challenges in getting to the who, what, when and where","Irwin A.S.M., Turner A.B."
Management of financial institutions in Africa: Emerging themes and future research agenda,"Adeleye I., Debrah Y.A., Nachum L."
Smart contract in blockchain: An exploration of legal framework in Malaysia,"Mohd Zain N.R.B., Engku Ali E.R.A., Abideen A., Rahman H.A."
Promoting China’s Inclusive Finance Through Digital Financial Services,"Hasan M.M., Yajuan L., Khan S."
Banking on refugees: Racialized expropriation in the fintech era,"Bhagat A., Roderick L."
Global drivers of cryptocurrency infrastructure adoption,"Saiedi E., Broström A., Ruiz F."
What have we learnt from 10 years of fintech research? a scientometric analysis,"Liu J., Li X., Wang S."
Emerging trends and innovation modes of internet finance-results from co-word and co-citation networks,"Li X., Yuan J., Shi Y., Sun Z., Ruan J."
Powered by blockchain: forecasting blockchain use in the electricity market,"Höhne S., Tiberius V."
Active cyber defence strategies and techniques for banks and financial institutions,"Creado Y., Ramteke V."
"Financial Technology: Review of trends, approaches and management","Abad-Segura E., González-Zamar M.-D., López-Meneses E., Vázquez-Cano E."
The generic ecosystem and innovation patterns of the digital transformation in the financial industry,"Riasanow T., Flötgen R.J., Setzke D.S., Böhm M., Krcmar H."
Following the cyber money trail Global challenges when investigating ransomware attacks and how regulation can help,"Irwin, ASM; Dawson, C"
Smart Contract in Blockchain: An Exploration of Legal Framework in Malaysia,"Zain, NRBM; Ali, ERAE; Abideen, A; Rahman, HA"
Encouraging Entrepreneurship and Economic Growth,"Ahlstrom, D; Chang, AY; Cheung, JST"
Promoting China's Inclusive Finance Through Digital Financial Services,"Hasan, MM; Lu, YJ; Khan, S"
Emerging Trends and Innovation Modes of Internet Finance-Results from Co-Word and Co-Citation Networks,"Li, XY; Yuan, JH; Shi, Y; Sun, ZL; Ruan, JH"
"Financial Technology: Review of Trends, Approaches and Management","Abad-Segura, E; Gonzalez-Zamar, MD; Lopez-Meneses, E; Vazquez-Cano, E"
Exploring characteristics and transformational capabilities of InsurTech innovations to understand insurance value creation in a digital world,"Stoeckli E., Dremel C., Uebernickel F."
Make or break: Business model determinants of FinTech venture success,"Roeder J., Cardona D.R., Palmer M., Werth O., Muntermann J., Breitner M.H."
On preventing bitcoin transaction from money laundering in Indonesia: Analysis and recommendation on regulations,"Gifari A., Anggorojati B., Yazid S."
The regulation of illegal fundraising in China,"Liu X., Huang F., Yeung H."
The opportunities of engaging FinTech companies into the system of crossborder money transfers in Ukraine,"Petrushenko Y., Kozarezenko L., Glinska-Newes A., Tokarenko M., But M."
Financial literacy for entrepreneur in the industry 4.0 era: A conceptual framework in Indonesia,"Hatammimi J., Krisnawati A."
The impact of fintech M&A on stock returns,"Dranev Y., Frolova K., Ochirova E."
Fintechs: A literature review and research agenda,"Milian E.Z., Spinola M.D.M., Carvalho M.M.D."
"Blockchain, cryptocurrency and Fintech market growth in Malaysia","Ku-Mahamud K.R., Bakar N.A.A., Omar M."
Follow the money: Managing personal finance digitally,"Lewis M., Perry M."
The digital transformation of FinTech: Disruptions and value paths,"El-Masri M., Al-Yafi K., Sherif K.S."
The evolution of the financial technology ecosystem: An introduction and agenda for future research on disruptive innovations in ecosystems,"Palmié M., Wincent J., Parida V., Caglar U."
Betting on trust - On the relations between Norwegian local governments and the financial sector [Tap og tillit - om relasjonene mellom norske kraftkommuner og finansnæringen],Løding T.H.
Unethical practices peer-to-peer lending in Indonesia,Hidajat T.
Smart contracts: will Fintech be the catalyst for the next global financial crisis?,"Duran R.E., Griffin P."
‘RegTech’ as a Solution for Compliance Challenge: A Review Article,"Nasir F., Saeedi M."
"Digital systems and new challenges of financial management – fintech, XBRL, blockchain and cryptocurrencies","Mosteanu N.R., Faccia A."
FinTech - Unbearably lithe or reasonably agile? - A critical legal approach from the german perspective,Deipenbrock G.
"Initial coin offerings (ICOs): Benefits, risks and success measures","Šapkauskienė A., Višinskaitė I."
Appraising Personal Data Protection in Startup Companies in Financial Technology: A Case Study of ABC Corp,"Rozi M.F., Sucahyo Y.G., Gandhi A., Ruldeviyani Y."
"Artificial intelligence and real estate - not just an evolution, a real game changer!",Cajias M.
Blockchain security research: theorizing through bibliographic-coupling analysis,"Patrício L.D., Ferreira J.J."
