Authors,Title,Year,Author Keywords,Abstract,Document Type,ID
"Bunnell L., Osei-Bryson K.-M., Yoon V.Y.",Development of a consumer financial goals ontology for use with FinTech applications for improving financial capability,2020.0,Consumer financial goals; Financial capability; Financial goals ontology; Ontology acquisition; Ontology engineering; Ontology evaluation,"In this research, we communicate the design and evaluation of a consumer financial goals ontology to be utilized as a knowledgebase within recommender systems applications designed to provide decision support in the domain of financial planning. The goal of this research is to provide a domain conceptualization and knowledge classification of a comprehensive set of financial capability enhancing objectives contextually appropriate for a wide range of socio-economically situated consumers. Currently, to the best of our knowledge, within the domain of consumer financial planning no formal conceptual model or knowledge classification of financial goals exists which might be utilized as a knowledgebase for applications such as a FinTech recommender system. Achieving financial goals is a key behavior associated with consumer financial capability, a topic of national economic importance. A holistic representation of domain concepts is critical for advancement of solutions to problems pertinent to a domain. One primary reason for the dearth of applications designed to assist consumers with financial goal setting is the absence of a common domain ontology of financial goals. This study addresses a gap in the literature by contributing to the research knowledgebase an ontology for a domain of consumer financial goals. In doing so, it advances scholarly research through novel domain knowledge classification while providing researchers and practitioners with an ontological knowledgebase for indexing and retrieval within applications designed to improve consumer financial capability through identification and recommendation of specific, context-aware financial goals. The ontology could be used, for example, as a knowledgebase for a Personal Financial Recommender System (PFRS), or other financial technology (FinTech) application, designed to assist users with identification, setting, and tracking of financial goals. © 2020 Elsevier Ltd",Article,2-s2.0-85089744794
Tsvirko S.,Crowdfunding as a Source of Financing in Russia: PEST Analysis,2020.0,Crowdfunding; Crowdinvesting; Crowdlending; PEST analysis; Platform,"The article focuses on the features of crowdfunding in Russia. The method of research is PEST analysis. The objective of the study was to analyze opportunities as well as problems and unsolved issues that are connected with crowdfunding in Russia. The main drivers of the development of crowdfunding in Russia, revealed in the paper, are as follows: new legislation, devoted to the crowdfunding; real need of small and medium enterprises as well non-governmental organizations in additional financial resources; demand from individual and institutional investors for new investment opportunities, especially under the conditions of lowing of the interest rates; active use of financial technologies. The most serious factors, that constrain crowdfunding in Russia, identified in the paper, are as follows: some unsolved regulatory issues; poor investors’ protection and possibility of fraud; low levels of real income and savings; low profitability of many businesses. The analysis provides a basis for different participants (projects’ founders, investors, policy makers) to exploit opportunities and minimize threats of this new approach in the sphere of finance. © 2021, Springer Nature Switzerland AG.",Book Chapter,2-s2.0-85087561724
"Pisoni G., Gijlers H.",A pilot study to inform the design of a supportive environment for challenge-based collaboration,2020.0,Challenge-based education; Collaborative work; Team dynamics,"In the course “An introduction to FinTech: from mobile payments to blockchains”, students are introduced to the broad area of FinTech, from both technical and business side. The course consists of two technical lectures that explain the students the basic technology for authentication and blockchain and two entrepreneurship lectures that discuss the fintech business ecosystem. In the rest of the course the students work on a project provided by companies in which they put into practice the obtained knowledge and provide a solution to a real life challenge. The course is face-to-face, with two weekly sessions of 2 h each. The students work in teams and each week they need to show progress/work towards the challenge resolution. The students are not constrained in any way and are asked to self organize for the team work. In this study we present the results we obtained from questionnaires that we delivered before the course on course expectations (that we used also to form the teams), during the course on teams’ dynamics, and after the course to measure students’ perception on collaboration strategies. We end the paper with a reflection on the design space for an application that can support this type of collaborative work online. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",Conference Paper,2-s2.0-85090095463
Ceaparu C.,IT solutions for big data processing and analysis in the finance and banking sectors,2020.0,Big Data analytics; Big data platforms; Fast Data,"This paper aims to give a general overview of the technologies used by two important trends in Business Intelligence nowadays, that continue to reshape the Data Architecture landscape worldwide. Bringing equally relevant value to businesses today, Fast Data and Big Data complete each other in order to enable both quick/short term as well as thorough/long term commercial strategies of companies, regardless of the industry they are part of. The body and conclusion of this paper will focus on the benefits of using the newest FinTech solutions for both aforementioned data processing models, while clearly stating the differences between the two. Both open source and proprietary type of solutions will be presented with the purpose to offer a thorough picture as to what the best architectural landscape of Big Data analytics should look like. © Springer Nature Switzerland AG 2021.",Conference Paper,2-s2.0-85089315340
"Uma K.S., Srinath Naidu",Prediction of intraday trend reversal in stock market index through machine learning algorithms,2020.0,Intraday move; Machine learning; Stock market prediction,"Research on stock price prediction has gained much importance in stock markets because of the immense economic value of being able to predict stock prices in advance. In this paper, we are trying to predict intraday trend reversals in a stock market index. Stock market indices often exhibit sharp intraday trend reversals of significant magnitude. If this reversal can be predicted or detected as soon as the move starts, it will be of immense economic value. Based on past data and statistical methods we can establish support and resistance levels for index and constituent shares. Usually, a sudden change in moves happens as a reversal at these levels or on crossing these levels with strong momentum. In general, traders use statistical methods like RSI (Relative Strength Index), MACD (Moving Average Convergence Divergence) to identify the trend reversals during day trading. One problem with all these methods is that they identify trend reversals with a time lag. We provide in this paper a novel approach to predict such sharp reversals by using machine learning algorithms. We analyze past and present data to predict intraday trend reversals in the index with precision and robustness. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",Conference Paper,2-s2.0-85089242976
"Richard, Heryadi Y., Lukas, Trisetyarso A.",Leverage from Blockchain in Commodity Exchange: Asset-Backed Token with Ethereum Blockchain Network and Smart Contract,2020.0,Asset-backed token; Blockchain; ERC-20; Ethereum; Token,"Ethereum is one of the most popular blockchain platforms with a high number of adoption in the blockchain world today. Ethereum token (ERC-20) can tokenize any real-world object while it is also possible to exchange the token across the network participants. This utility from the token drives many blockchain enthusiasts to create decentralized applications. ERC-20 token could be used to collect project funds, decision voting, or even can be used to provide investment platforms for people that want to hedge the volatility of the currency with buying an asset that is back to back with the crypto-token. This research shows the main characteristics of asset-backed token and its implementation on a complete end-to-end “digitalization assets system” (assets buy and assets redemption). The result shows that asset-backed token needs support from government and other legalizing parties to verify the legitimacy of the asset that backing the token itself. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Conference Paper,2-s2.0-85089225563
Zhao D.,Application and Development Trend of Blockchain in the Financial Field,2020.0,Blockchain; Development trend; Digital currency; Financial industry,"Blockchain technology, as a new technology, is expected to play an important role in the development of the financial industry. The article first introduces the development status and existing problems of the financial industry, and then studies the sources, concepts and mechanisms of blockchain technology. Combining the problems existing in the financial industry and the blockchain, we can see that blockchain and finance have a natural adaptability. The article further summarizes the current application status of blockchain technology in the financial field, and lists related cases. Finally, according to the application of blockchain technology in finance, the future development trend of blockchain technology is proposed. It has certain reference significance for the development of blockchain and the innovation of blockchain technology in financial applications. © 2021, Springer Nature Switzerland AG.",Conference Paper,2-s2.0-85089220047
"Cai Z., Zhang J.",Commodity Trading Platform Based on Big Data Analysis,2020.0,Big data; Commodity trading; Data analysis; PHP; XAMPP,"This paper mainly studies the use of Apache + PHP + MySQL and big data computing technology to design a commodity trading platform based on big data analysis. This commodity trading platform has multi-style data analysis. The front desk has user personal data analysis, including footprint, order analysis, purchase preferences, consumption information, etc. There are various kinds of marketing data analysis of the platform in the background, including sales profile data analysis, peer hot sales data analysis, sales ranking, etc. In addition, big data computing technology is used to analyze user behavior, collect all access ways of user browsing platform, and process the collected data in depth, so as to obtain a real-time dynamic effect map, dynamically display the access amount and proportion of each access way, and extract valuable information from it, so as to develop an effective promotion plan for the platform and achieve precision marketing. © 2021, Springer Nature Switzerland AG.",Conference Paper,2-s2.0-85089209695
Ivașcu C.-F.,Option pricing using Machine Learning,2020.0,Implied parameters; Machine Learning; Nonparametric methods; Option pricing,"This paper examines the option pricing performance of the most popular Machine Learning algorithms. The classic parametrical models suffer from several limitations in term of computational power required for parametric calibration and unrealistic economical and statistical assumptions. Therefore, a data driven approach based on non-parametric models is are well justified. Most of the previous researchers focus especially on the neural networks method (NN), the other algorithms being unexplored. Beside NN, this paper also analyses the performance of the Support Vector Regressions and Genetic Algorithms and propose three other Decision Tree methods, respectively Random Forest, XGBoost and LightGMB. In order to emphasize the power of this algorithms, a comparison with classical methods like Black-Scholes and Corrado-Su with both historical and implied parameters have been conducted. The analyzes were performed on European call options who have as underlying asset the WTI crude oil future contracts. Machine Learning algorithms outperform by a great margin the classical approaches regardless of the moneyness and the maturity of the contracts. © 2020 Elsevier Ltd",Article,2-s2.0-85088912136
Mermer A.,"Design, synthesize and antiurease activity of novel thiazole derivatives: Machine learning, molecular docking and biological investigation",2020.0,Antiurease activity; Machine learning; Molecular docking; OCHEM; Thiazole,"Machine learning is one of the methods used in the design of new molecules with different biological properties and has become a trend in recent years. Since there are many published studies on urease enzyme inhibition, we accumulated a huge literatüre data set and improved a model for antiurease activity. The balanced accuracy of the selected compounds (classification models) were about 78% and the predictive accuracy of them possessed a coefficient of determination q2 = 0.2-0.7 (regression models) with cross-validation and independent test sets. Thanks to the chemical library created with the machine learning method, a comparison of the predictive and experimental results of the compounds that previously synthesized by us and investigated urease inhibition was made. Compounds observed to be experimentally active were found to be active with the machine learning method. The models are freely avaible online (http://ochem.eu) and can be used to predict potantial antiurease activity of novel compounds. The activity potentials of compounds 4a-d were further evaluated via molecular docking studies with AutoDock4 and AutoDock Vina softwares. © 2020",Article,2-s2.0-85088633147
